,0
0,1295279.713397503
1,1356415.5918102982
2,1360313.3732026403
3,1362604.9870483407
4,1362489.2120236147
5,1369155.9592862236
6,1374689.7505804405
7,1376019.0106272167
8,1379795.991059158
9,1386697.6013609404
10,1391588.9091261805
11,1396784.9663910544
12,1401937.5370526153
13,1407091.0272393608
14,1404607.6676025838
15,1415478.1107284122
16,1407413.117264047
17,1413370.53979612
18,1416485.2840669265
19,1415068.8062817561
20,1415068.8062817561
21,1415103.2938800845
22,1415150.7120309416
23,1415610.1790227294
24,1416164.5548540968
25,1419002.4722882388
26,1418664.0864966344
27,1413576.9854629545
28,1409411.4524479948
29,1412608.483564469
30,1406406.4201512712
31,1398865.4381102065
32,1416107.0269540027
33,1414690.9213377915
34,1415300.0798136522
35,1416563.3748244455
36,1415392.4908410162
37,1415750.3248612462
38,1416241.1962360672
39,1420272.2422088152
40,1421854.7718111265
41,1431358.9746162058
42,1427052.3034199378
43,1430598.9486824898
44,1427357.6110795056
45,1426622.936662769
46,1430157.0542379208
47,1435483.868684534
48,1435458.0173090044
49,1440496.0402815556
50,1443001.050660932
51,1441093.9537063562
52,1444829.1336838612
53,1456573.8996197614
54,1459797.0251681297
55,1461892.3351435699
56,1460248.636278071
57,1462552.0507911162
58,1466350.930069777
59,1467323.0297198496
60,1469511.9608523648
61,1463888.2681396005
62,1469477.2966060033
