,0
0,918834.822265625
1,1024404.978271785
2,1014266.2384920525
3,1016655.275814477
4,1014112.0022277156
5,1024421.6358236655
6,1033676.3452064837
7,1035950.4390122279
8,1031995.729205589
9,1037614.0106386598
10,1040882.3551116172
11,1041322.8828417074
12,1033279.1539054115
13,1033414.8385809339
14,1030385.619511526
15,1031447.9715112047
16,1031282.9862683077
17,1018279.5694235745
18,1012057.1774797847
19,1017530.2869542778
20,1011955.6028273753
21,1006143.9139296509
22,1007701.130510984
23,1008829.796276836
24,1008450.3309402224
25,1019021.8809846179
26,1011749.6034243994
27,1011323.2587417942
28,1003091.4589858598
29,1017441.7613296796
30,1007674.3449541574
31,1006476.9933992082
32,1002854.1875413173
33,1006339.2580452699
34,1006646.377648654
35,1017220.3823048595
36,1026110.7399399115
37,1024509.2284358703
38,1027322.0644108112
39,1021794.7692508751
40,1021761.0739659291
41,1025786.7944228234
42,1027317.2234100044
43,1034366.7961044572
44,1038487.0518471706
45,1040960.6178618335
46,1043481.2689058066
47,1039095.0664903302
48,1031912.9284519805
49,1031147.2249266851
50,1026376.8554877128
51,1031610.1287832818
52,1024250.2236495944
53,1030605.8236810287
54,1032503.2528353669
55,1029638.982844317
56,1041739.6974156983
57,1013520.0712363475
58,1004811.3245278707
59,1020685.5338422039
60,1035833.8226463827
61,1047330.384179921
62,1047259.3804462093
