,0
0,1249179.5921325684
1,1293113.0282843232
2,1298814.6703160307
3,1298689.875778075
4,1297772.4859953825
5,1304513.2568780268
6,1303787.9553743356
7,1307879.9438643504
8,1307413.7340001818
9,1303229.319720272
10,1310971.9481971592
11,1310632.9360472057
12,1309290.7187079226
13,1307178.9023217203
14,1316515.5622275837
15,1315744.0205501805
16,1314428.29812606
17,1314428.29812606
18,1314428.29812606
19,1314428.29812606
20,1314334.5068971606
21,1314542.0823499144
22,1315035.2544905194
23,1315467.2649273435
24,1314376.535024445
25,1312174.0725784344
26,1306197.7116788928
27,1307499.2028193711
28,1313801.6261961218
29,1316303.5071381698
30,1317264.2399887443
31,1303964.4324461268
32,1299444.2071313178
33,1302149.0078697705
34,1314043.912682027
35,1307962.3172121914
36,1305636.0760205865
37,1305919.498802966
38,1306047.009574155
39,1309834.7088372645
40,1313096.8317644526
41,1318241.6638022747
42,1320197.428841531
43,1302686.9389988068
44,1303094.224541625
45,1304193.3974149607
46,1302993.608311088
47,1302993.608311088
48,1303178.7451210164
49,1303131.8243490008
50,1302861.6850860103
51,1303244.3625666634
52,1302905.760264544
53,1304038.6371935168
54,1304525.3780630124
55,1303479.9503738289
56,1302684.7839306947
57,1300072.678136265
58,1298736.349569453
59,1302986.0630793066
60,1305175.9241918058
61,1305826.6457767058
62,1311656.6615019925
