,0
0,1678590.4543703794
1,1536502.2979711855
2,1553910.5930690458
3,1564208.3564844395
4,1575291.3995885102
5,1572679.0012577246
6,1563875.8965664366
7,1575673.679737391
8,1577610.596199818
9,1589295.2771993529
10,1608682.872613103
11,1584539.1285993198
12,1598748.7169266357
13,1603957.9589115835
14,1615961.1805928992
15,1606259.267998888
16,1602218.272141392
17,1653247.503017493
18,1654391.5658116408
19,1664160.9705295227
20,1689024.7337841268
21,1711037.0881149068
22,1709326.0720139383
23,1709326.0720139383
24,1708829.9132415024
25,1707775.1533968286
26,1717828.8256937983
27,1720991.162542558
28,1714841.4703111958
29,1739356.6111318842
30,1740669.0081320438
31,1750101.380183057
32,1743060.5940754667
33,1755217.0974082563
34,1760785.8672537506
35,1757235.676531452
36,1754885.1347733573
37,1753130.2799898332
38,1753130.2799898332
39,1753130.2799898332
40,1753083.5720645275
41,1752262.86764722
42,1750523.4697804346
43,1749841.7762998333
44,1748564.0071787266
45,1741536.236810921
46,1743208.0414085963
47,1742004.527896016
48,1746552.3312443097
49,1745248.8932432164
50,1744317.354787251
51,1742127.071042663
52,1748170.5103106943
53,1730991.9190265385
54,1734748.2894956823
55,1738876.4077037172
56,1738454.652502837
57,1741130.8593275254
58,1751634.979906682
59,1763113.5543451128
60,1745711.5159209024
61,1744608.2177827242
62,1744608.2177827242
