,0
0,1687919.125
1,1687647.572577857
2,1687438.007348124
3,1693287.2706879717
4,1703205.6771971257
5,1701489.896657724
6,1704460.4323219282
7,1698054.0573510013
8,1694515.149947947
9,1699490.6527785421
10,1701380.2254219176
11,1715860.648168342
12,1709517.7566670899
13,1692700.9266768822
14,1692698.6244802463
15,1690913.0955607004
16,1696978.813043574
17,1673073.3920886395
18,1649581.4865734582
19,1643563.959564868
20,1592810.7779344746
21,1610189.7743920926
22,1616309.337097622
23,1637936.6545365043
24,1633094.6948817787
25,1610500.0973736767
26,1630125.5865315043
27,1577938.5547646678
28,1592220.339374839
29,1613709.576619654
30,1630985.8967878977
31,1617546.8053896695
32,1637208.5895360624
33,1664808.3866687515
34,1642089.0316128046
35,1659277.7163436674
36,1649518.1654759755
37,1647869.4889025034
38,1649499.007384596
39,1650320.4193973436
40,1644100.667596931
41,1652132.40076083
42,1663204.5292533939
43,1667101.6495112227
44,1669016.1670755998
45,1679100.2709365778
46,1694204.9029945014
47,1692822.3057113094
48,1692822.3057113094
49,1691809.4997160295
50,1692322.8936278634
51,1692852.7833450518
52,1690644.3212640511
53,1686768.4073992714
54,1687143.7507370124
55,1684280.6170060616
56,1692923.1934449808
57,1690614.6675766734
58,1687215.2937925844
59,1690422.6394056755
60,1689196.3981686283
61,1685307.6354624114
62,1686903.8049845195
