,0
0,1078046.887271881
1,1066232.004877994
2,1077086.2786829383
3,1077767.9818412142
4,1079597.4613762607
5,1085950.93401153
6,1075550.4584678668
7,1074768.7156367395
8,1069540.0412806054
9,1075814.8351874521
10,1071859.7669008486
11,1079081.0485651013
12,1080368.6189725378
13,1079154.4719931844
14,1076697.3859007496
15,1080870.4085168992
16,1085661.8986947674
17,1091022.5796795874
18,1088312.296485305
19,1087328.514027851
20,1088251.6071041927
21,1086439.905535833
22,1080954.7202371953
23,1077712.695446049
24,1072913.4455631264
25,1097389.3047569185
26,1100016.4991618148
27,1120640.7856707012
28,1134537.4304973183
29,1140080.26006001
30,1143163.2807526314
31,1142020.1310045815
32,1141346.7868462752
33,1141536.187011332
34,1141275.1249058344
35,1143329.6769840475
36,1144409.322879339
37,1145198.0411320098
38,1147759.7050670113
39,1147053.4064426185
40,1147437.7087115487
41,1147754.5031458384
42,1150518.3362451945
43,1149520.9285969383
44,1150099.3074601672
45,1150749.2858333858
46,1154996.74413695
47,1157187.142263601
48,1161127.0879846918
49,1160737.8296426146
50,1164719.8629968204
51,1162070.6399129261
52,1165034.755451199
53,1161265.403939422
54,1164752.8266145124
55,1170101.018895368
56,1168001.8021877434
57,1165720.739931844
58,1166345.481267124
59,1166953.2298568927
60,1160116.3181769033
61,1158439.505678359
62,1156071.9898173495
