,0
0,1709517.7600815296
1,1636906.6709306706
2,1614195.7650723534
3,1624744.9279267415
4,1632845.6718466717
5,1654928.1688309212
6,1653726.7244606444
7,1664080.0860337215
8,1662444.0781143773
9,1666030.2683965066
10,1660951.9790668779
11,1675876.3100392078
12,1674200.441807075
13,1674200.441807075
14,1674200.441807075
15,1674200.441807075
16,1674200.441807075
17,1674200.441807075
18,1674200.441807075
19,1673187.779658671
20,1675356.3948567705
21,1673546.955749558
22,1673273.7124004653
23,1675628.1049722298
24,1679026.2059034065
25,1680380.3218543776
26,1676214.9549751077
27,1677310.71356394
28,1681519.2345267506
29,1679551.2058394637
30,1692060.703833735
31,1696640.8366133622
32,1682224.71405618
33,1673963.5158127332
34,1669466.0715301954
35,1673875.3525732611
36,1682733.5490959247
37,1690740.1116091595
38,1694828.3822557202
39,1686013.752313037
40,1672104.8287540646
41,1655737.7842225404
42,1659470.2611268195
43,1657375.7480086142
44,1672617.412519078
45,1669955.5470941754
46,1665940.9639163897
47,1665948.561772132
48,1674280.3132278004
49,1673927.74288325
50,1672266.589042381
51,1674087.8454931132
52,1670795.6121614093
53,1679017.511759347
54,1687698.3268787295
55,1689601.0098528005
56,1687071.5071508465
57,1690992.2645626308
58,1693371.6157755775
59,1681459.6391388963
60,1686386.0018299245
61,1698105.7069319186
62,1685218.4813719902
