,0
0,1573717.375
1,1568299.6981861861
2,1569485.7063759386
3,1578957.4246928277
4,1571568.7019902158
5,1583463.8889884367
6,1577607.8632392308
7,1593648.166172014
8,1603951.82743563
9,1595435.9819685745
10,1588259.139551642
11,1577493.419113159
12,1576332.2443023878
13,1561045.8572420967
14,1559484.823374954
15,1562208.5281171112
16,1561956.069856152
17,1561956.069856152
18,1561956.069856152
19,1560763.8187576975
20,1560705.34676464
21,1565017.8462970247
22,1566911.3364616882
23,1566025.2447508348
24,1572223.859760039
25,1575487.706290348
26,1576578.1052851293
27,1578016.369444078
28,1572934.1588067948
29,1574130.485684759
30,1574456.7744038485
31,1574886.3881233884
32,1584864.2944512975
33,1577695.7913656114
34,1577560.132253924
35,1575565.82164832
36,1573691.4179893425
37,1555784.6379154325
38,1568401.2709714172
39,1557605.3038584548
40,1569758.1069636992
41,1580836.7042332988
42,1581224.8397289962
43,1602206.6441832967
44,1603131.135269267
45,1606543.5577974382
46,1605669.6571598542
47,1604489.6944447749
48,1594908.1829139565
49,1591075.3612890025
50,1585949.894058753
51,1580549.8870583852
52,1566716.699878322
53,1560757.5784596452
54,1550415.1786764069
55,1564071.5765563261
56,1555000.0838140585
57,1555075.7174293085
58,1543012.7931512545
59,1541688.2440693968
60,1547746.7939957355
61,1547842.0088569587
62,1540768.4679389538
