,0
0,1394457.112089157
1,1529157.7311072657
2,1548454.5052191294
3,1551427.311451059
4,1560002.2816707522
5,1558312.5065458461
6,1579153.0462021346
7,1577573.902112921
8,1577573.902112921
9,1577573.902112921
10,1577573.902112921
11,1577573.902112921
12,1577573.902112921
13,1577184.5898514078
14,1576993.432059087
15,1576993.432059087
16,1576993.432059087
17,1575273.4297964084
18,1570462.628886838
19,1569645.5150145988
20,1569239.2970486968
21,1569239.2970486968
22,1569239.2970486968
23,1572341.9160163333
24,1571776.8158850041
25,1571509.8153699972
26,1574124.104490335
27,1577635.1777238443
28,1578031.7198168235
29,1581843.1375003122
30,1587417.174677916
31,1588474.8289636122
32,1583275.1982909057
33,1579452.2522961646
34,1583064.8115579248
35,1592601.6261610189
36,1605333.8392660427
37,1593620.3685751418
38,1578152.2015327706
39,1577254.4891102633
40,1576627.7325663576
41,1579802.446267839
42,1578764.661161371
43,1577451.3342452827
44,1579617.9402793497
45,1589192.9612563048
46,1583543.1015279002
47,1579534.1202536356
48,1573684.821342575
49,1574572.534603683
50,1577465.326226899
51,1564103.380349498
52,1566788.3132900149
53,1565170.5554690366
54,1532976.418371984
55,1506830.9090920882
56,1545108.9187604298
57,1520246.8356342916
58,1521471.3064057066
59,1535190.9741105952
60,1503224.6162349354
61,1526314.9146696283
62,1544053.4981422808
