,0
0,-20606.55922063254
1,-1686.772576986812
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,533.4513705398422
34,-3944.401589690009
35,-7772.322633136064
36,2351.8728918288834
37,-19862.061913126614
38,-1129.3984359041788
39,4026.194890573621
40,3826.9832542864606
41,5786.982748287264
42,9726.432087676134
43,3992.2824589558877
44,1784.969277674798
45,-5356.178475439316
46,7523.781238020631
47,90.74722084053792
48,4561.841382751474
49,27109.53640022315
50,-2436.0561286471784
51,18261.256246406818
52,-3257.0045212553814
53,222.17748229997233
54,-13319.959417572012
55,3661.7382230376825
56,-4110.242056045681
57,4773.277024688898
58,5029.009406204335
59,2705.8129930112045
60,11671.195180734387
61,-3006.268217212986
