,0
0,1073340.439209938
1,1236619.188514065
2,1233648.9111820955
3,1242857.646264878
4,1233857.1437115686
5,1230366.3041042879
6,1235913.4539347594
7,1229601.5717534367
8,1231282.8147558435
9,1221821.1388916492
10,1218329.1411393946
11,1211364.4524882762
12,1220261.1966570034
13,1215692.149638347
14,1219997.7882906452
15,1231192.7700825706
16,1231422.358333939
17,1228398.5911333058
18,1220730.421381798
19,1215593.4806245472
20,1212784.615384305
21,1213231.1811477335
22,1217871.4037997767
23,1219458.2126108347
24,1223047.506656561
25,1219340.217579196
26,1226366.6252211994
27,1233526.7326467785
28,1241162.0903548624
29,1242152.9832240667
30,1254797.1423351
31,1256672.1667848525
32,1262651.3066235967
33,1272963.4773292642
34,1272484.7285149868
35,1276657.6791213874
36,1280853.2182640603
37,1282531.8784023323
38,1280399.7351975164
39,1296055.2298112446
40,1289468.9895715625
41,1287300.9303556553
42,1284872.7569598963
43,1282293.2953985962
44,1276725.5355893723
45,1277538.2277836427
46,1282818.4083295413
47,1285146.9834841415
48,1282952.4408808507
49,1293592.9540796503
50,1292186.3350521
51,1292986.0989365287
52,1294460.5958872687
53,1283893.2984220202
54,1279505.3333489825
55,1279436.686418244
56,1276908.5964881552
57,1274463.73910256
58,1279673.4906959585
59,1277409.2840603108
60,1276967.8091669676
61,1271396.0641876394
62,1270803.9860118781
