,0
0,-9900.126548930537
1,-22710.905858317157
2,10549.162854388123
3,8100.743919930188
4,22082.496984249447
5,-1201.4443702767603
6,10353.36157307704
7,-1636.0079193441197
8,3586.190282129217
9,-5078.289329628693
10,14924.330972329946
11,-1675.868232132867
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,-1012.6621484039351
19,2168.61519809952
20,-1809.4391072124708
21,-273.2433490927797
22,2354.3925717645325
23,3398.100931176683
24,1354.1159509711433
25,-4165.366879269946
26,1095.7585888323374
27,4208.5209628106095
28,-1968.0286872868892
29,12509.49799427134
30,4580.132779627107
31,-14416.122557182098
32,-8261.198243446881
33,-4497.444282537792
34,4409.281043065712
35,8858.19652266358
36,8006.562513234792
37,4088.2706465607043
38,-8814.62994268327
39,-13908.92355897231
40,-16367.044531524181
41,3732.4769042790867
42,-2094.513118205359
43,15241.66451046383
44,-2661.865424902644
45,-4014.583177785622
46,7.597855742322281
47,8331.75145566836
48,-352.5703445505351
49,-1661.1538408689667
50,1821.2564507322386
51,-3292.2333317038137
52,8221.899597937707
53,8680.81511938246
54,1902.682974071009
55,-2529.502701953985
56,3920.7574117842596
57,2379.351212946698
58,-11911.97663668124
59,4926.3626910282765
60,11719.7051019941
61,-12887.225559928454
