,0
0,1652772.318359375
1,1307269.6837276253
2,1306216.9150784342
3,1306216.9150784342
4,1306216.9150784342
5,1306216.9150784342
6,1306216.9150784342
7,1306216.9150784342
8,1306216.9150784342
9,1306216.9150784342
10,1306216.9150784342
11,1306216.9150784342
12,1306216.9150784342
13,1306216.9150784342
14,1306216.9150784342
15,1306216.9150784342
16,1306216.9150784342
17,1306216.9150784342
18,1306216.9150784342
19,1306216.9150784342
20,1306216.9150784342
21,1306216.9150784342
22,1306216.9150784342
23,1306216.9150784342
24,1306216.9150784342
25,1306216.9150784342
26,1306216.9150784342
27,1306216.9150784342
28,1306216.9150784342
29,1306216.9150784342
30,1306216.9150784342
31,1308426.689821459
32,1308309.4087404795
33,1308409.2368415946
34,1316088.153987941
35,1325376.9279119968
36,1322266.2067285886
37,1319320.9562983299
38,1323259.4626912256
39,1328752.6509045907
40,1347497.8673579576
41,1346531.1578407614
42,1384697.661566426
43,1409014.5704860103
44,1392072.8761638785
45,1373615.2959005467
46,1284321.939910455
47,1307450.7053666115
48,1316001.065360062
49,1338736.1132035172
50,1337397.388244056
51,1336933.814714842
52,1336765.1470240043
53,1336988.6702116886
54,1336879.4986712076
55,1336879.4986712076
56,1337540.588231029
57,1337369.127431768
58,1337369.127431768
59,1337369.127431768
60,1337369.127431768
61,1337369.127431768
62,1337369.127431768
