,0
0,1612.6635597679997
1,-1059.3019558441592
2,2199.560192282079
3,2024.8991155701224
4,3587.8271285253577
5,1977.0601346951444
6,-2650.0846319738775
7,-11835.262329889578
8,10493.846070231171
9,1669.0384459821507
10,-137.74884620681405
11,3798.045157998451
12,336.85956548235845
13,11277.849196483381
14,-1023.2917249528691
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,1403.9875102961669
21,1019.7663713769289
22,-390.53951798484195
23,-247.17576152691618
24,476.59677315480076
25,-4751.669216596987
26,327.283867163118
27,-1456.1858003314119
28,-6961.727218518732
29,-7460.068951671943
30,8675.240244564135
31,-1501.6019879947416
32,10617.55498494301
33,4385.29759335611
34,1819.3806480707135
35,-3154.7894531793427
36,-1305.3115193377016
37,-808.6333017088473
38,-261.19589074270334
39,-4503.170028933557
40,6449.24289334903
41,-9901.952812800417
42,-11436.822210208396
43,20077.36913484754
44,-5309.459035740467
45,-9458.071205311804
46,-7569.081028425368
47,4807.097206379985
48,-18483.87376998458
49,6421.238438307657
50,-6378.286116520059
51,12092.717979277833
52,-14382.72496368573
53,-20944.71399593039
54,6229.745026670396
55,5824.880079514463
56,13066.655941851437
57,-941.8017033032374
58,-1864.1175501695834
59,10369.32289527019
60,-6520.173398406361
61,-9697.669476120383
