,0
0,1055609.4495697021
1,1041290.6874906755
2,1040284.9961650255
3,1055607.9818863962
4,1061027.1681167718
5,1072228.8365869941
6,1073973.1729361138
7,1087262.634984394
8,1085860.5554004225
9,1087951.8680234335
10,1084847.062539123
11,1086262.5309834313
12,1079615.9706295107
13,1081379.4902299435
14,1077426.2155462373
15,1075552.6622868301
16,1076362.9904035907
17,1074031.4675035793
18,1070494.6089904774
19,1066471.9091488367
20,1061644.4305144246
21,1065728.8041763145
22,1065028.9403470992
23,1076024.1479299017
24,1077980.8470041726
25,1079507.0925495366
26,1074507.6118854743
27,1082643.3582579128
28,1081831.5361634956
29,1087840.4336389268
30,1084520.3074308755
31,1085381.8157987797
32,1087414.74776074
33,1085900.4074392067
34,1084024.3150944156
35,1084609.6350889723
36,1081835.0754767174
37,1081775.6324572058
38,1079290.9671414467
39,1084958.3177688275
40,1085369.4113468686
41,1083115.7707172055
42,1084526.9082352347
43,1089747.1696179393
44,1093750.1736341745
45,1094045.3038053631
46,1091648.5988788174
47,1067487.7418289653
48,1081954.2142305486
49,1067226.8463507225
50,1065217.3587516574
51,1075776.673996241
52,1068283.5659320876
53,1069303.1507901344
54,1068842.1611508378
55,1080935.487977901
56,1085960.3082729692
57,1078147.0501250555
58,1067866.704137096
59,1073352.9940030968
60,1083797.2631985773
61,1071741.4636946556
62,1079862.2900785573
