,0
0,1011680.539185524
1,995080.7128587787
2,977956.5792607269
3,950547.4158784702
4,939567.7021147772
5,941341.4074768097
6,950867.803077086
7,927406.7453523274
8,940499.0655520617
9,923221.421896921
10,922270.7665737016
11,909643.0834264648
12,917528.4236700458
13,930704.105252911
14,917699.9978154118
15,933731.4407487923
16,911366.6380311319
17,916381.3738886642
18,940567.918600359
19,939627.3597738822
20,937790.4769931217
21,937701.8113836611
22,937701.8113836611
23,937701.8113836611
24,937701.8113836611
25,937701.8113836611
26,937701.8113836611
27,935660.1210278409
28,938872.1290887014
29,942520.2742261044
30,947391.1009279528
31,947111.3910858731
32,946111.8036997716
33,952718.7351804409
34,946035.2718589307
35,947457.9045173572
36,956844.4314172531
37,956093.431416202
38,949441.6701652193
39,969426.9216333914
40,971448.2963430331
41,972742.2581961789
42,977147.8344252161
43,978940.4452011996
44,971932.6915476172
45,974209.2061131173
46,975919.125192229
47,990060.6403579651
48,990254.1149743585
49,989087.1903388012
50,990990.9924759608
51,998873.7936164624
52,1009947.0949746863
53,1009355.5698824316
54,1005404.0481074505
55,1003610.7226834543
56,1003524.2990253118
57,1005885.616152599
58,1010458.0207291871
59,1015900.7605827482
60,1017615.9704793983
61,1025945.2891441494
62,1021637.5013652417
