,0
0,1603653.2359695435
1,1686774.987540028
2,1685088.2149630412
3,1685088.2149630412
4,1685088.2149630412
5,1685088.2149630412
6,1685088.2149630412
7,1685088.2149630412
8,1685088.2149630412
9,1685088.2149630412
10,1685088.2149630412
11,1685088.2149630412
12,1685088.2149630412
13,1685088.2149630412
14,1685088.2149630412
15,1685088.2149630412
16,1685088.2149630412
17,1685088.2149630412
18,1685088.2149630412
19,1685088.2149630412
20,1685088.2149630412
21,1685088.2149630412
22,1685088.2149630412
23,1685088.2149630412
24,1685088.2149630412
25,1685088.2149630412
26,1685088.2149630412
27,1685088.2149630412
28,1685088.2149630412
29,1685088.2149630412
30,1685088.2149630412
31,1685088.2149630412
32,1685088.2149630412
33,1685088.2149630412
34,1685621.666333581
35,1681677.264743891
36,1673904.942110755
37,1676256.815002584
38,1656394.7530894573
39,1655265.354653553
40,1659291.5495441267
41,1663118.5327984132
42,1668905.5155467005
43,1678631.9476343766
44,1682624.2300933325
45,1684409.1993710073
46,1679053.020895568
47,1686576.8021335886
48,1686667.5493544291
49,1691229.3907371806
50,1718338.9271374037
51,1715902.8710087566
52,1734164.1272551634
53,1730907.122733908
54,1731129.300216208
55,1717809.340798636
56,1721471.0790216736
57,1717360.836965628
58,1722134.1139903169
59,1727163.1233965212
60,1729868.9363895324
61,1741540.1315702668
62,1738533.8633530538
