,0
0,6504.9884753706865
1,17408.295097860275
2,10297.763415393652
3,11083.043104070704
4,-2612.398330785567
5,-8803.104691287968
6,11797.783170954324
7,1936.9164624270052
8,11684.680999534903
9,19387.595413750038
10,-24143.744013783056
11,14209.588327315869
12,5209.241984947817
13,12003.221681315685
14,-9701.912594011286
15,-4040.9958574958146
16,51029.23087610095
17,1144.0627941477578
18,9769.404717881931
19,24863.76325460407
20,22012.354330779985
21,-1711.016100968467
22,0.0
23,-496.1587724359706
24,-1054.7598446737975
25,10053.672296969686
26,3162.336848759791
27,-6149.69223136222
28,24515.140820688335
29,1312.3970001596026
30,9432.372051013168
31,-7040.786107590189
32,12156.503332789522
33,5568.769845494302
34,-3550.1907222985756
35,-2350.5417580946814
36,-1754.8547835240606
37,0.0
38,0.0
39,-46.70792530570179
40,-820.7044173076283
41,-1739.3978667852934
42,-681.6934806013014
43,-1277.769121106714
44,-7027.770367805613
45,1671.8045976753347
46,-1203.5135125804227
47,4547.803348293761
48,-1303.4380010932218
49,-931.5384559654631
50,-2190.2837445880286
51,6043.43926803139
52,-17178.591284155846
53,3756.370469143847
54,4128.118208034895
55,-421.7552008803468
56,2676.2068246884737
57,10504.120579156559
58,11478.574438430835
59,-17402.03842421039
60,-1103.2981381781865
61,0.0
