,0
0,10058.826132465154
1,19296.77411186369
2,2972.806231929688
3,8574.970219693147
4,-1689.7751249060966
5,20840.539656288456
6,-1579.1440892135724
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,-389.3122615132015
13,-191.1577923207078
14,0.0
15,0.0
16,-1720.0022626786958
17,-4810.800909570418
18,-817.1138722391333
19,-406.21796590206213
20,0.0
21,0.0
22,3102.6189676364884
23,-565.100131329149
24,-267.00051500694826
25,2614.289120337926
26,3511.0732335092034
27,396.54209297918715
28,3811.4176834886894
29,5574.037177603925
30,1057.6542856961023
31,-5199.630672706524
32,-3822.9459947410505
33,3612.5592617602088
34,9536.814603094012
35,12732.213105023839
36,-11713.470690900926
37,-15468.167042371118
38,-897.7124225073494
39,-626.7565439057071
40,3174.7137014814653
41,-1037.7851064680144
42,-1313.3269160883501
43,2166.6060340669937
44,9575.020976955071
45,-5649.859728404554
46,-4008.981274264632
47,-5849.298911060672
48,887.713261108147
49,2892.7916232158896
50,-13361.945877400925
51,2684.9329405168537
52,-1617.757820978295
53,-32194.13709705253
54,-26145.509279895807
55,38278.009668341605
56,-24862.083126138197
57,1224.4707714149263
58,13719.66770488862
59,-31966.35787565983
60,23090.2984346929
61,17738.583472652594
