,0
0,3521.1480660239467
1,-1005.6913256499683
2,15322.985721370671
3,5419.186230375664
4,11201.66847022227
5,1744.336349119665
6,13289.462048280286
7,-1402.0795839715283
8,2091.3126230109483
9,-3104.805484310491
10,1415.468444308266
11,-6646.560353920562
12,1763.5196004328318
13,-3953.2746837062296
14,-1873.5532594071701
15,810.3281167605892
16,-2331.5229000113904
17,-3536.8585131019354
18,-4022.699841640657
19,-4827.478634412168
20,4084.3736618899275
21,-699.86382921529
22,10995.207582802512
23,1956.6990742709022
24,1526.245545363985
25,-4999.480664062314
26,8135.746372438502
27,-811.8220944171771
28,6008.897475431208
29,-3320.1262080513407
30,861.5083679042291
31,2032.931961960392
32,-1514.340321533382
33,-1876.0923447911628
34,585.3199945567176
35,-2774.559612254845
36,-59.4430195116438
37,-2484.6653157591354
38,5667.350627380889
39,411.0935780410655
40,-2253.640629663132
41,1411.1375180291943
42,5220.261382704601
43,4003.004016235238
44,295.130171188619
45,-2396.7049265457317
46,-24160.857049852144
47,14466.472401583334
48,-14727.36787982611
49,-2009.4875990650617
50,10559.315244583646
51,-7493.1080641534645
52,1019.5848580468446
53,-460.98963929666206
54,12093.326827063225
55,5024.8202950682025
56,-7813.25814791373
57,-10280.345987959532
58,5486.28986600088
59,10444.269195480505
60,-12055.799503921764
61,8120.82638390176
