,0
0,1644781.4311523438
1,1645819.1440335133
2,1654329.856228372
3,1660160.5611699447
4,1650263.6798969614
5,1657644.5731882658
6,1659838.1365037754
7,1659939.0764334002
8,1667835.8558799252
9,1667268.2799424392
10,1660287.4097350433
11,1663121.8421355127
12,1663759.4013768104
13,1674692.2087558904
14,1689409.153751342
15,1694353.2776044807
16,1691831.50090215
17,1685440.6460508823
18,1693928.4570146801
19,1686522.8044203648
20,1683205.7670294184
21,1691825.410237284
22,1694340.9236700358
23,1701052.802701579
24,1696229.71107901
25,1685536.7132242885
26,1672460.5503784637
27,1663683.488351875
28,1670213.4651285475
29,1668830.5388036452
30,1688945.1903657296
31,1698359.201829733
32,1705035.394344445
33,1706997.7989862603
34,1701934.8176684366
35,1698113.2149880123
36,1708403.3965963942
37,1722195.884073314
38,1722754.2065282166
39,1728031.9997293565
40,1721203.4335964532
41,1720887.5327810382
42,1717467.9004946547
43,1721067.0102430747
44,1722034.2809865207
45,1717115.3458587332
46,1714178.590264657
47,1721722.3093550976
48,1716394.835244495
49,1727096.3907553349
50,1722872.790990214
51,1719776.566985162
52,1729137.8922782354
53,1736048.7820636784
54,1754642.6752086263
55,1759812.1569556082
56,1745206.6224618366
57,1734210.0306340226
58,1727455.9679221725
59,1729200.061815909
60,1731925.5034996392
61,1742214.406901704
62,1754389.6845505827
