,0
0,1672663.710175991
1,1770732.3907833677
2,1756061.8742060976
3,1758570.0281398061
4,1752040.2220081147
5,1698558.7136369292
6,1665235.131210432
7,1681550.1941884523
8,1677551.1997944391
9,1711432.1243047891
10,1695209.6382861368
11,1670657.566854317
12,1680741.3539725589
13,1679060.633784055
14,1677826.5588808043
15,1677689.0742240695
16,1677689.0742240695
17,1677689.0742240695
18,1677689.0742240695
19,1677689.0742240695
20,1677689.0742240695
21,1677689.0742240695
22,1677671.2854119828
23,1680454.4042002913
24,1683063.5599680033
25,1696622.2353063547
26,1696193.2112869893
27,1687872.661000849
28,1657226.1131828788
29,1653057.6186791067
30,1647807.342252229
31,1654431.8416598407
32,1656205.8125794418
33,1634768.206926395
34,1633362.5163627656
35,1633362.5163627656
36,1632180.476115916
37,1635302.5649184596
38,1635102.1041647627
39,1635102.1041647627
40,1635102.1041647627
41,1635102.1041647627
42,1635102.1041647627
43,1630766.8734513447
44,1630016.077697821
45,1622679.5161489057
46,1623067.5055593539
47,1620366.695881335
48,1623334.5218782076
49,1622750.604925701
50,1610679.145130087
51,1609865.6124481526
52,1610162.0337413973
53,1607192.4063116356
54,1598899.8884769469
55,1585571.4952013593
56,1564974.4286798546
57,1609279.4791653196
58,1623371.3369363176
59,1617498.4787187537
60,1633075.2955565786
61,1643732.1125042443
62,1607190.0169134932
