,0
0,-5417.676813813858
1,1186.0081897524651
2,9471.718316889135
3,-7388.722702611936
4,11895.18699822086
5,-5856.0257492058445
6,16040.302932783263
7,10303.661263615824
8,-8515.84546705545
9,-7176.8424169325735
10,-10765.720438482938
11,-1161.174810771132
12,-15286.387060291134
13,-1561.0338671426289
14,2723.7047421571333
15,-252.45826095924713
16,0.0
17,0.0
18,-1192.2510984544642
19,-58.47199305752292
20,4312.499532384798
21,1893.4901646634098
22,-886.0917108533904
23,6198.615009204252
24,3263.846530308947
25,1090.3989947813097
26,1438.2641589487903
27,-5082.210637283279
28,1196.3268779641949
29,326.28871908946894
30,429.61371953994967
31,9977.906327909091
32,-7168.503085686127
33,-135.65911168744788
34,-1994.3106056039687
35,-1874.4036589774769
36,-17906.78007391002
37,12616.633055984741
38,-10795.96711296239
39,12152.803105244413
40,11078.597269599559
41,388.135495697381
42,20981.804454300553
43,924.4910859703086
44,3412.4225281712133
45,-873.9006375840399
46,-1179.9627150793094
47,-9581.511530818418
48,-3832.8216249539983
49,-5125.467230249429
50,-5400.007000367856
51,-13833.187180063222
52,-5959.121418676805
53,-10342.399783238303
54,13656.39787991927
55,-9071.49274226767
56,75.63361525000073
57,-12062.92427805392
58,-1324.5490818577819
59,6058.549926338717
60,95.21486122324131
61,-7073.540918004932
