,0
0,-13986.580778941745
1,-14670.516577270115
2,2508.153933708556
3,-6529.806131691439
4,-53481.50837118551
5,-33323.58242649725
6,16315.062978020404
7,-3998.9943940131925
8,33880.924510349985
9,-16222.48601865233
10,-24552.071431819815
11,10083.78711824189
12,-1680.7201885038521
13,-1234.074903250672
14,-137.4846567348577
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,-17.78881208668463
22,2783.118788308464
23,2609.1557677120436
24,13558.6753383514
25,-429.02401936543174
26,-8320.550286140293
27,-30646.54781797016
28,-4168.494503772119
29,-5250.276426877594
30,6624.4994076115545
31,1773.9709196011536
32,-21437.605653046863
33,-1405.6905636293814
34,0.0
35,-1182.0402468496468
36,3122.0888025437016
37,-200.46075369697064
38,0.0
39,0.0
40,0.0
41,0.0
42,-4335.230713417986
43,-750.7957535237074
44,-7336.561548915226
45,387.9894104481209
46,-2700.8096780187916
47,2967.8259968725033
48,-583.9169525066391
49,-12071.459795614006
50,-813.5326819343027
51,296.42129324469715
52,-2969.627429761691
53,-8292.51783468877
54,-13328.393275587587
55,-20597.06652150466
56,44305.05048546498
57,14091.85777099803
58,-5872.858217563946
59,15576.816837824881
60,10656.816947665764
61,-36542.09559075115
