Wall time,Step,Value
1657204257.9338706,1704,86.60702514648438
1657204264.7381682,3403,101.6874771118164
1657204272.4097416,5102,127.77191162109375
1657204279.5072646,6801,90.76717376708984
1657204286.7838197,8500,139.32785034179688
1657204293.5258026,10199,29.662677764892578
1657204300.2298863,11898,78.9679946899414
1657204307.0017903,13597,111.60814666748047
1657204314.6434078,15296,143.18695068359375
1657204321.5589266,16995,197.4224395751953
1657204328.7079232,18694,189.37960815429688
1657204335.8964024,20393,200.68336486816406
1657204342.8847346,22092,171.9230194091797
1657204349.9464629,23791,154.11553955078125
1657204357.0256362,25490,131.79954528808594
1657204364.0313494,27189,127.33772277832031
1657204370.9475021,28888,149.98004150390625
1657204377.623698,30587,133.45196533203125
1657204385.2432559,32286,170.0835418701172
1657204392.4958713,33985,159.1095428466797
1657204399.582934,35684,161.08328247070312
1657204406.5108016,37383,149.39964294433594
1657204416.3371556,39082,156.5155487060547
1657204427.6488147,40781,238.6345977783203
1657204450.9956474,42480,187.4410858154297
1657204457.3925529,44179,190.55084228515625
1657204464.023833,45878,175.87997436523438
1657204470.6601007,47577,205.28871154785156
1657204477.3063393,49276,133.1605224609375
1657204483.7002487,50975,139.34332275390625
1657204490.3494785,52674,148.19699096679688
1657204496.941862,54373,128.36656188964844
1657204503.6020632,56072,86.73258209228516
1657204510.1535585,57771,119.19939422607422
1657204517.1117997,59470,153.41287231445312
1657204524.5379548,61169,226.60726928710938
1657204533.4831033,62868,175.57083129882812
1657204543.679358,64567,148.5255889892578
1657204552.6352515,66266,146.47320556640625
1657204560.0045578,67965,242.11048889160156
1657204568.0221312,69664,239.11859130859375
1657204575.088289,71363,160.5270538330078
1657204586.2813156,73062,221.73873901367188
1657204605.2436705,74761,209.44302368164062
1657204619.114689,76460,196.4502716064453
1657204627.9186442,78159,271.6426086425781
1657204637.4842265,79858,301.6867980957031
1657204644.1524925,81557,287.3016052246094
1657204650.7987328,83256,297.0197448730469
1657204658.2658596,84955,279.8026428222656
1657204665.6112304,86654,247.66690063476562
1657204672.7760808,88353,308.3516540527344
1657204682.0124278,90052,241.61199951171875
1657204690.6973915,91751,301.843017578125
1657204698.4856107,93450,307.6332702636719
1657204706.4626124,95149,288.70330810546875
1657204713.1846485,96848,235.99400329589844
1657204719.7112088,98547,155.28140258789062
1657204726.2886395,100246,214.6228485107422
1657204733.2659922,101945,193.3392333984375
1657204739.7985349,103644,193.8755645751953
1657204746.7529516,105343,178.6361846923828
1657204753.8760417,107042,208.97540283203125
1657204761.0279293,108741,193.87350463867188
1657204768.5160801,110440,224.37889099121094
1657204776.1061788,112139,231.37698364257812
1657204782.8391733,113838,221.16470336914062
1657204789.7925901,115537,218.86822509765625
1657204797.620704,117236,227.4062042236328
1657204806.2436304,118935,231.6545867919922
1657204813.9744184,120634,234.28660583496094
1657204820.9899943,122333,204.18408203125
1657204829.1325562,124032,210.05645751953125
1657204837.2979698,125731,214.72726440429688
1657204845.180117,127430,186.2823486328125
1657204853.6853848,129129,196.80030822753906
1657204861.936702,130828,248.1974334716797
1657204871.6248093,132527,212.36419677734375
1657204896.367462,134226,214.48486328125
1657204905.1485112,135925,176.0131072998047
1657204916.159118,137624,145.10443115234375
1657204922.936974,139323,170.36935424804688
1657204932.1340368,141022,181.3941192626953
1657204940.0558689,142721,139.28465270996094
1657204946.922528,144420,140.97984313964844
1657204953.6286044,146119,197.65162658691406
1657204962.197352,147818,173.93988037109375
1657204970.1234484,149517,207.92135620117188
1657204977.015646,151216,216.64913940429688
1657204985.2277062,152915,193.87582397460938
1657204991.9738958,154614,177.18336486816406
1657204999.7959943,156313,195.77760314941406
1657205008.4438946,158012,139.52098083496094
1657205015.2546945,159711,133.18743896484375
1657205022.0644968,161410,154.33241271972656
1657205029.777979,163109,166.83544921875
1657205037.2031364,164808,198.0896453857422
1657205044.6932068,166507,178.96835327148438
1657205052.6489463,168206,209.887451171875
1657205059.9683852,169905,218.0991668701172
1657205067.4185307,171604,132.03570556640625
1657205075.1868165,173303,188.1682891845703
1657205082.2778702,175002,140.22267150878906
1657205089.3719075,176701,192.47325134277344
1657205096.1777232,178400,220.11412048339844
1657205103.1202152,180099,193.80010986328125
1657205109.868182,181798,231.192626953125
1657205116.7201312,183497,187.18309020996094
1657205124.1333177,185196,103.00061798095703
1657205132.9118729,186895,73.57328033447266
1657205139.456381,188594,106.58401489257812
1657205146.1684506,190293,174.15419006347656
1657205153.0340998,191992,104.65479278564453
1657205159.661388,193691,77.5079345703125
1657205166.446254,195390,97.00212097167969
1657205174.0255487,197089,123.27381134033203
1657205180.4882796,198788,100.83268737792969
1657205186.9809294,200487,87.04130554199219
1657205193.6222196,202186,92.05487060546875
1657205199.9662278,203885,100.32498931884766
1657205206.587578,205584,117.79269409179688
1657205215.476266,207283,130.18988037109375
1657205223.1138077,208982,161.43849182128906
1657205230.7053757,210681,99.82408142089844
1657205238.617616,212380,41.357601165771484
1657205245.8454964,214079,53.47053909301758
1657205254.282991,215778,58.704952239990234
1657205261.6874378,217477,86.77737426757812
1657205269.1032796,219176,60.730491638183594
1657205277.0650024,220875,58.0716667175293
1657205284.2278597,222574,136.03640747070312
1657205292.2310958,224273,182.71307373046875
