,index,balance
0,20151002,1001879.9521484375
1,20151005,1002264.94921875
2,20151006,1004336.15234375
3,20151007,1006806.171875
4,20151008,1004302.875
5,20151009,1004907.578125
6,20151012,1003533.244140625
7,20151013,1001565.2421875
8,20151014,1018686.958984375
9,20151015,1025025.154296875
10,20151016,1024754.4993708134
11,20151019,1027386.7923395634
12,20151020,1018775.2728083134
13,20151021,1017756.5
14,20151022,1017756.5
15,20151023,1017756.5
16,20151026,1017756.5
17,20151027,1017756.5
18,20151028,1017756.5
19,20151029,1017756.5
20,20151030,1017756.5
21,20151102,1017756.5
22,20151103,1017343.353515625
23,20151104,1017235.4375
24,20151105,1017928.4931640625
25,20151106,1017819.6875
26,20151109,1018079.86328125
27,20151110,1017739.6645507812
28,20151111,1011673.4765625
29,20151112,1008299.515625
30,20151113,1007878.5
31,20151116,1007356.4243164062
32,20151117,1010980.3159179688
33,20151118,1010839.3017578125
34,20151119,1010905.271484375
35,20151120,1009264.640625
36,20151123,1010401.953125
37,20151124,1007479.646484375
38,20151125,1009012.109375
39,20151127,1007063.86328125
40,20151130,1020238.7460689545
41,20151201,1007994.6269283295
42,20151202,991457.8007564545
43,20151203,1015390.1288814545
44,20151204,1004329.8144283295
45,20151207,994519.6132564545
46,20151208,1004880.7695064545
47,20151209,1003875.875
48,20151210,1001613.1008300781
49,20151211,1001788.8271484375
50,20151214,1006107.0498046875
51,20151215,1011716.3349609375
52,20151216,1004520.6337890625
53,20151217,991483.78125
54,20151218,998904.470703125
55,20151221,1007050.96484375
56,20151222,1018734.556640625
57,20151223,1014373.6218471527
58,20151224,1012106.5027065277
59,20151228,1022403.2527065277
60,20151229,1012987.7468471527
61,20151230,1003505.2527065277
62,20160104,985854.0720899105
63,20160105,968683.4786739349
64,20160106,942401.6557750702
65,20160107,933701.0536756516
66,20160108,932872.2396793365
67,20160111,938006.0607318878
68,20160112,917830.9360074997
69,20160113,934029.6398773193
70,20160114,912842.9536046982
71,20160115,912959.9912223816
72,20160119,894098.9315299988
73,20160120,901600.1770477295
74,20160121,919202.6121196747
75,20160122,903390.9949073792
76,20160125,923354.6861915588
77,20160126,899530.5871887207
78,20160127,912773.9710245132
79,20160128,928735.4763717651
80,20160129,927806.75
81,20160201,927806.75
82,20160202,927806.75
83,20160203,927806.75
84,20160204,927806.75
85,20160205,927806.75
86,20160208,927806.75
87,20160209,927806.75
88,20160210,925949.931640625
89,20160211,927355.2693939209
90,20160212,927263.8125
91,20160216,928646.5076904297
92,20160217,928233.1120147705
93,20160218,927336.6050415039
94,20160219,930393.9073791504
95,20160222,924969.4520263672
96,20160223,926415.2907104492
97,20160224,930900.4721221924
98,20160225,930263.5615234375
99,20160226,928127.8588867188
100,20160229,937944.9033203125
101,20160301,937832.2823486328
102,20160302,938673.4091796875
103,20160303,940218.9877929688
104,20160304,941416.8433227539
105,20160307,938818.7279052734
106,20160308,939270.31640625
107,20160309,939327.8580646515
108,20160310,948481.0891113281
109,20160311,947409.1175842285
110,20160314,947108.9594726562
111,20160315,949834.5395202637
112,20160316,957533.9622344971
113,20160317,966076.7623291016
114,20160318,965401.0301246643
115,20160321,960363.6152412891
116,20160322,955115.6610870361
117,20160323,956351.8299036026
118,20160324,958275.8471069336
119,20160328,961323.4595794678
120,20160329,963077.2817342281
121,20160330,962162.880367279
122,20160331,968278.6057109833
123,20160401,964262.7362155914
124,20160405,959975.2195186615
125,20160406,946610.4344367981
126,20160407,950068.0092334747
127,20160408,949406.9092980027
128,20160411,958391.6221300364
129,20160412,967756.6104393005
130,20160413,968193.2603616714
131,20160414,970236.0092391968
132,20160415,974847.43977952
133,20160418,975313.7842998505
134,20160419,968066.0123519897
135,20160420,957096.3432707787
136,20160421,960645.9726066589
137,20160422,960977.2941799164
138,20160425,963226.3302841187
139,20160426,967094.7134261131
140,20160427,958346.6545448303
141,20160428,954848.2412071228
142,20160429,962856.2617666721
