,index,balance
0,20151002,1001969.4731445312
1,20151005,1001564.9776611328
2,20151006,1003512.484375
3,20151007,1006753.1201171875
4,20151008,1006228.06640625
5,20151009,1006977.3505859375
6,20151012,1003999.3375091553
7,20151013,1001980.7854003906
8,20151014,1015849.69921875
9,20151015,1019295.2059326172
10,20151016,1020099.8737316132
11,20151019,1020469.236158371
12,20151020,1010455.7299823761
13,20151021,1009445.3125
14,20151022,1009445.3125
15,20151023,1009445.3125
16,20151026,1009445.3125
17,20151027,1009445.3125
18,20151028,1009445.3125
19,20151029,1009445.3125
20,20151030,1009445.3125
21,20151102,1009445.3125
22,20151103,1009138.7504882812
23,20151104,1009028.375
24,20151105,1009329.6224365234
25,20151106,1009221.375
26,20151109,1009405.3120117188
27,20151110,1008397.8134765625
28,20151111,1002468.4423828125
29,20151112,996851.2670288086
30,20151113,996438.5
31,20151116,996454.625
32,20151117,999036.9375
33,20151118,998402.4663085938
34,20151119,998971.8857421875
35,20151120,998569.6669921875
36,20151123,999764.9638671875
37,20151124,1000188.5708007812
38,20151125,1002039.0419921875
39,20151127,999133.6337890625
40,20151130,1007551.9050009251
41,20151201,998077.7379226685
42,20151202,980965.2028284073
43,20151203,1003619.5409617424
44,20151204,994689.6249461174
45,20151207,985741.0906944275
46,20151208,978097.8730163574
47,20151209,977119.8125
48,20151210,974833.0646972656
49,20151211,977096.9395751953
50,20151214,977821.4829101562
51,20151215,985040.3876953125
52,20151216,976965.5698242188
53,20151217,964503.1845703125
54,20151218,971269.10546875
55,20151221,980921.3779296875
56,20151222,992404.451171875
57,20151223,988176.8788928986
58,20151224,985277.1479358673
59,20151228,994816.2751331329
60,20151229,987835.6158695221
61,20151230,978451.5962526798
62,20160104,960452.2192773819
63,20160105,942232.8087730408
64,20160106,922289.6054878235
65,20160107,914385.0445365906
66,20160108,916499.3300030231
67,20160111,921920.8544960022
68,20160112,899997.2710933685
69,20160113,916244.5743761063
70,20160114,891863.9568557739
71,20160115,893309.7120914459
72,20160119,878004.1519870758
73,20160120,880111.5208492279
74,20160121,891936.4755753577
75,20160122,872030.4008683264
76,20160125,892113.9738082886
77,20160126,883055.1767444611
78,20160127,888500.3007087708
79,20160128,909134.8254318237
80,20160129,908225.6875
81,20160201,908225.6875
82,20160202,908225.6875
83,20160203,908225.6875
84,20160204,908225.6875
85,20160205,908225.6875
86,20160208,908225.6875
87,20160209,908225.6875
88,20160210,906298.3920898438
89,20160211,909749.1127929688
90,20160212,909552.0625
91,20160216,911317.8326416016
92,20160217,910726.4572753906
93,20160218,909458.3168945312
94,20160219,914229.3764648438
95,20160222,908104.8564453125
96,20160223,909945.9721679688
97,20160224,916440.9912109375
98,20160225,915579.2631835938
99,20160226,911454.5151367188
100,20160229,932768.6642950773
101,20160301,934087.4850711823
102,20160302,936877.1343541145
103,20160303,940819.6586694717
104,20160304,944985.8269400597
105,20160307,939082.9830551147
106,20160308,939339.0025987625
107,20160309,939787.1991930008
108,20160310,949925.4937059879
109,20160311,951782.2859420776
110,20160314,952696.8817520142
111,20160315,955054.9294509888
112,20160316,963372.836013794
113,20160317,972257.4249572754
114,20160318,970277.2972421646
115,20160321,967994.6472835541
116,20160322,965202.9881906509
117,20160323,963707.6152601242
118,20160324,965415.4644403458
119,20160328,972331.8843125105
120,20160329,978420.0598068237
121,20160330,977158.9401102066
122,20160331,983841.7233133316
123,20160401,984015.0953836441
124,20160405,977333.4001808167
125,20160406,962494.0899028778
126,20160407,965376.2110881805
127,20160408,965153.2477149963
128,20160411,972982.0012931824
129,20160412,981204.032907486
130,20160413,983328.545331955
131,20160414,982120.1053780913
132,20160415,986459.7381745577
133,20160418,990558.3761310577
134,20160419,985369.0466966629
135,20160420,972480.8404693604
136,20160421,976209.7178583145
