,index,balance
0,20151002,1001956.0795288086
1,20151005,1001358.1247558594
2,20151006,1003729.0910644531
3,20151007,1007205.9267578125
4,20151008,1006490.2778320312
5,20151009,1007676.931640625
6,20151012,1004781.5869140625
7,20151013,1001890.9228515625
8,20151014,1015931.068359375
9,20151015,1019807.3487186432
10,20151016,1020723.9982051849
11,20151019,1020901.7172794342
12,20151020,1011761.3286924362
13,20151021,1010749.5625
14,20151022,1010749.5625
15,20151023,1010749.5625
16,20151026,1010749.5625
17,20151027,1010749.5625
18,20151028,1010749.5625
19,20151029,1010749.5625
20,20151030,1010749.5625
21,20151102,1010749.5625
22,20151103,1010504.7983398438
23,20151104,1010394.1875
24,20151105,1010635.6801757812
25,20151106,1010518.75
26,20151109,1010702.7495117188
27,20151110,1009572.1557617188
28,20151111,1003176.4443359375
29,20151112,997371.3623046875
30,20151113,996933.6875
31,20151116,996480.1594238281
32,20151117,998723.0146484375
33,20151118,997470.705078125
34,20151119,998663.7429199219
35,20151120,998428.775390625
36,20151123,999833.8618164062
37,20151124,1000494.6474609375
38,20151125,1002324.17578125
39,20151127,999616.0289306641
40,20151130,1007991.0017536879
41,20151201,998269.3604297638
42,20151202,981305.5166797638
43,20151203,1004202.3194141388
44,20151204,995491.2139453888
45,20151207,986731.8369922638
46,20151208,979170.2523193359
47,20151209,978191.125
48,20151210,975996.6389160156
49,20151211,977974.8166503906
50,20151214,979301.3291015625
51,20151215,986303.802734375
52,20151216,977823.412109375
53,20151217,965957.720703125
54,20151218,971804.2290039062
55,20151221,981751.529296875
56,20151222,992714.330078125
57,20151223,988262.2179269791
58,20151224,985412.5292949677
59,20151228,994857.1059222221
60,20151229,987688.9876251221
61,20151230,978184.5311794281
62,20160104,961110.0264415741
63,20160105,943048.4113788605
64,20160106,921610.9579381943
65,20160107,912808.4965481758
66,20160108,913547.6483345032
67,20160111,920073.2106761932
68,20160112,899102.7551773787
69,20160113,915167.4950332642
70,20160114,893327.0890071392
71,20160115,892633.7939796448
72,20160119,874903.2119483948
73,20160120,883624.9531664848
74,20160121,900835.6171588898
75,20160122,881932.2085514069
76,20160125,899673.3452701569
77,20160126,879303.6130981445
78,20160127,891889.7527618408
79,20160128,910615.7748775482
80,20160129,909705.1875
81,20160201,909705.1875
82,20160202,909705.1875
83,20160203,909705.1875
84,20160204,909705.1875
85,20160205,909705.1875
86,20160208,909705.1875
87,20160209,909705.1875
88,20160210,909314.9348144531
89,20160211,911117.0853271484
90,20160212,910978.5625
91,20160216,912425.1756649017
92,20160217,913339.8939208984
93,20160218,913362.4793701172
94,20160219,915514.1419067383
95,20160222,913053.7659301758
96,20160223,913695.2496032715
97,20160224,917401.4457244873
98,20160225,916570.9838867188
99,20160226,914373.4778900146
100,20160229,920501.1048583984
101,20160301,919952.2110595703
102,20160302,921064.5693664551
103,20160303,922093.4727783203
104,20160304,923887.2698364258
105,20160307,922518.7017822266
106,20160308,924209.2568359375
107,20160309,923233.0610351562
108,20160310,930018.7722167969
109,20160311,929978.4581298828
110,20160314,929586.2655029297
111,20160315,933019.7196044922
112,20160316,939580.8207397461
